time,temperature_2m,relative_humidity_2m,precipitation,dewpoint_2m,wind_speed_10m,wind_direction_10m,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,aqi_offset,co_offset,no_offset,no2_offset,o3_offset,so2_offset,pm2_5_offset,pm10_offset,nh3_offset
2020-11-28 00:00:00,-0.3,89,0.0,-1.9,5.4,127,4.0,801.09,5.42,64.43,0.58,4.47,38.51,41.33,3.83,1.0,208.62,0.0,5.74,41.84,0.27,3.17,3.79,1.17
2020-11-28 01:00:00,0.0,86,0.0,-2.0,5.1,129,4.0,707.63,1.41,57.58,2.3,3.16,33.26,35.91,3.39,1.0,208.62,0.0,5.1,41.84,0.24,3.67,4.22,1.28
2020-11-28 02:00:00,-0.6,88,0.0,-2.3,5.4,127,4.0,600.82,0.27,45.24,6.62,2.59,27.52,29.97,3.39,1.0,210.29,0.0,4.76,41.13,0.26,4.47,4.98,1.65
2020-11-28 03:00:00,-1.0,90,0.0,-2.5,5.4,127,3.0,494.0,0.07,32.9,13.23,2.56,22.32,24.57,4.43,1.0,211.95,0.0,4.71,39.7,0.31,5.48,5.99,2.28
2020-11-28 04:00:00,-0.7,86,0.0,-2.7,4.7,122,2.0,423.91,0.03,25.02,20.21,3.16,19.04,21.1,6.9,1.0,216.96,0.0,4.8,37.91,0.35,6.37,6.89,2.79
2020-11-28 05:00:00,0.2,78,0.0,-3.1,5.0,120,2.0,387.19,0.02,21.42,26.11,3.7,17.39,19.31,8.87,1.0,216.96,0.0,5.01,36.48,0.35,6.78,7.32,2.69
2020-11-28 06:00:00,1.5,69,0.0,-3.6,3.7,119,2.0,393.87,0.04,22.62,28.61,4.59,17.7,19.72,9.88,1.0,220.3,0.01,6.34,34.33,0.43,6.94,7.61,2.28
2020-11-28 07:00:00,0.9,68,0.0,-4.3,2.4,117,3.0,460.63,0.14,31.19,23.6,6.02,20.97,23.3,10.26,1.0,230.31,0.03,9.34,30.76,0.63,7.09,7.94,2.41
2020-11-28 08:00:00,3.6,61,0.0,-3.2,1.0,135,4.0,534.06,1.09,40.1,16.09,7.39,25.25,27.94,10.26,1.0,233.65,0.29,11.14,27.9,0.63,6.81,7.78,2.0
2020-11-28 09:00:00,6.0,50,0.0,-3.6,2.1,31,4.0,594.14,7.49,38.04,18.6,7.99,29.14,32.22,9.88,1.0,226.97,1.65,9.25,28.97,0.5,5.77,6.78,1.39
2020-11-28 10:00:00,7.3,54,0.0,-1.5,3.3,6,4.0,620.84,12.74,32.9,20.56,6.26,31.33,34.65,7.22,1.0,211.95,1.9,6.51,36.84,0.34,3.73,4.58,1.08
2020-11-28 11:00:00,7.6,53,0.0,-1.5,3.8,17,4.0,647.54,15.2,31.53,18.06,5.42,33.39,36.86,6.14,1.0,198.6,1.47,4.54,46.49,0.28,2.59,3.24,1.01
2020-11-28 12:00:00,7.6,53,0.0,-1.5,3.7,11,4.0,647.54,15.65,31.87,15.02,5.07,33.9,37.4,5.64,1.0,191.93,1.17,3.64,50.78,0.29,2.19,2.72,1.11
2020-11-28 13:00:00,7.1,57,0.0,-0.9,3.5,336,4.0,554.09,12.52,27.08,17.17,4.05,28.72,31.96,5.0,1.0,171.9,0.2,1.06,77.25,0.12,0.85,1.01,0.43
2020-11-28 14:00:00,6.3,62,0.0,-0.4,3.7,331,3.0,467.3,9.28,22.96,18.24,3.01,24.57,27.58,4.18,1.0,170.23,0.11,0.81,78.68,0.11,0.71,0.83,0.34
2020-11-28 15:00:00,4.6,76,0.0,0.8,2.2,360,3.0,440.6,7.1,23.31,14.66,2.47,23.71,26.65,3.42,1.0,168.56,0.07,1.09,76.53,0.13,0.75,0.89,0.39
2020-11-28 16:00:00,1.7,84,0.0,-0.8,4.2,110,3.0,427.25,3.05,28.45,6.88,2.06,23.64,26.55,2.63,1.0,181.91,0.03,4.67,66.52,0.51,1.48,1.87,1.19
2020-11-28 17:00:00,1.1,84,0.0,-1.3,3.3,131,3.0,427.25,1.61,30.5,3.71,1.77,24.39,27.29,2.03,1.0,193.6,0.0,9.0,59.37,0.88,2.23,2.93,2.19
2020-11-28 18:00:00,0.7,83,0.0,-1.8,3.5,114,4.0,440.6,1.63,31.53,2.91,1.76,26.11,29.13,1.79,1.0,198.6,0.0,11.31,53.64,1.12,2.78,3.74,2.82
2020-11-28 19:00:00,0.3,82,0.0,-2.4,3.1,126,4.0,514.03,4.3,34.27,0.94,2.09,30.77,34.08,1.71,1.0,211.95,0.0,13.2,47.92,1.54,3.83,5.04,3.58
2020-11-28 20:00:00,-0.3,83,0.0,-2.8,3.1,135,4.0,620.84,10.06,35.99,0.05,2.38,37.61,41.42,1.68,1.0,223.64,0.0,13.71,44.35,1.85,4.64,5.95,4.18
2020-11-28 21:00:00,0.2,78,0.0,-3.2,0.8,153,4.0,714.3,15.2,36.67,0.01,2.71,43.81,48.11,1.87,1.0,226.97,0.0,12.51,43.63,1.88,4.87,6.13,4.37
2020-11-28 22:00:00,2.5,67,0.0,-3.1,1.5,166,4.0,794.41,18.55,38.73,0.01,3.61,48.89,53.54,2.85,1.0,220.3,0.0,10.71,43.63,1.65,4.59,5.68,4.18
2020-11-28 23:00:00,2.4,67,0.0,-3.1,1.4,180,5.0,854.49,20.34,42.84,0.01,4.77,53.17,57.94,4.18,1.0,216.96,0.0,9.43,44.7,1.42,4.45,5.33,4.24
2020-11-29 00:00:00,-0.9,80,0.0,-4.0,2.6,146,5.0,907.9,20.56,48.67,0.01,5.9,56.27,61.1,5.51,1.0,216.96,0.0,8.31,46.49,1.3,4.69,5.45,4.75
2020-11-29 01:00:00,2.2,65,0.0,-3.7,1.1,162,5.0,921.25,19.0,52.09,0.02,6.62,56.48,61.31,6.78,1.0,216.96,0.0,7.2,47.92,1.16,5.02,5.7,5.26
2020-11-29 02:00:00,2.9,61,0.0,-3.9,1.3,146,5.0,921.25,16.09,54.15,0.03,6.86,55.71,60.47,7.73,1.0,213.62,0.0,5.91,49.35,0.98,5.27,5.87,5.45
2020-11-29 03:00:00,2.9,60,0.0,-4.0,1.9,112,5.0,894.55,12.52,54.84,0.07,6.38,53.56,58.2,7.66,1.0,210.29,0.0,4.97,50.78,0.81,5.5,6.04,5.7
2020-11-29 04:00:00,2.3,62,0.0,-4.2,1.0,135,4.0,854.49,9.16,54.15,0.1,5.01,49.95,54.35,6.21,1.0,208.62,0.0,4.24,53.64,0.7,5.59,6.11,6.08
2020-11-29 05:00:00,1.9,63,0.0,-4.5,1.8,127,4.0,814.44,6.82,52.09,0.22,5.36,46.26,50.54,7.54,1.0,206.95,0.0,3.9,56.51,0.63,5.46,5.99,6.08
2020-11-29 06:00:00,1.4,63,0.0,-4.8,1.8,127,4.0,787.74,6.48,51.41,0.3,6.56,44.45,48.83,9.37,1.0,206.95,0.0,4.58,58.65,0.69,5.35,5.99,5.7
2020-11-29 07:00:00,1.0,64,0.0,-5.0,2.7,113,4.0,794.41,8.61,52.78,0.18,8.58,44.12,48.73,11.4,1.0,216.96,0.0,6.77,57.22,0.88,5.58,6.45,5.76
2020-11-29 08:00:00,0.8,68,0.0,-4.4,3.3,77,4.0,814.44,12.96,50.72,1.9,8.7,44.42,49.15,10.77,1.0,223.64,0.08,9.0,55.08,1.09,6.0,7.09,5.95
2020-11-29 09:00:00,2.4,72,0.0,-2.2,2.8,50,4.0,807.76,21.23,38.73,10.37,5.6,44.76,49.49,5.38,1.0,230.31,0.87,9.6,55.79,1.3,6.23,7.51,6.33
2020-11-29 10:00:00,3.9,70,0.0,-1.1,2.3,18,4.0,614.17,16.09,26.05,20.03,3.46,38.31,41.52,2.28,1.0,223.64,1.87,7.88,50.07,1.06,6.16,7.49,5.26
2020-11-29 11:00:00,4.7,69,0.0,-0.6,3.1,339,4.0,547.41,14.53,20.74,23.96,2.68,37.48,40.3,1.31,1.0,220.3,2.52,6.51,40.41,0.71,5.94,7.27,3.71
2020-11-29 12:00:00,2.7,79,0.0,-0.6,4.1,345,4.0,494.0,11.62,17.82,26.82,2.12,37.63,40.16,0.87,1.0,243.66,3.16,6.77,35.76,0.76,6.63,8.02,2.98
2020-11-29 13:00:00,2.1,81,0.0,-0.8,4.8,333,4.0,427.25,7.38,14.91,32.54,1.65,37.3,39.43,0.64,1.0,220.3,1.02,4.37,67.95,0.83,4.33,5.16,1.96
2020-11-29 14:00:00,1.3,83,0.0,-1.2,3.7,349,4.0,397.21,4.75,14.57,34.69,1.39,38.73,40.71,0.6,1.0,230.31,1.12,5.57,61.51,0.92,4.99,5.94,2.06
2020-11-29 15:00:00,0.3,87,0.0,-1.6,2.9,7,4.0,390.53,2.65,16.79,32.54,1.27,39.55,41.51,0.65,1.0,236.99,0.83,7.11,55.79,0.92,5.86,6.92,2.03
2020-11-29 16:00:00,-2.6,96,0.0,-3.2,3.3,41,4.0,397.21,0.5,22.62,24.32,1.22,40.15,42.2,0.74,1.0,260.35,0.22,13.37,44.35,1.28,8.43,9.89,2.82
2020-11-29 17:00:00,-2.9,95,0.0,-3.6,2.9,83,4.0,420.57,0.26,27.42,15.74,1.36,41.51,43.8,0.96,2.0,290.39,0.01,20.74,35.41,1.83,11.34,13.29,4.31
2020-11-29 18:00:00,-3.9,96,0.0,-4.4,2.9,97,4.0,453.95,0.65,30.85,8.94,1.88,43.63,46.31,1.41,2.0,303.75,0.01,24.33,31.11,2.24,12.74,15.01,5.64
2020-11-29 19:00:00,-4.4,96,0.0,-4.9,3.7,79,4.0,500.68,1.41,33.59,4.29,2.98,46.56,49.6,2.19,2.0,317.1,0.01,26.39,28.61,2.77,14.13,16.63,6.97
2020-11-29 20:00:00,-4.1,97,0.0,-4.5,2.7,67,4.0,534.06,2.01,34.27,2.12,4.05,48.35,51.17,3.04,2.0,333.79,0.01,27.76,26.82,3.31,15.68,18.35,8.11
2020-11-29 21:00:00,-3.9,98,0.0,-4.2,2.2,81,4.0,560.76,2.57,34.96,1.17,4.89,49.93,52.63,3.9,2.0,340.46,0.01,27.76,26.46,3.58,16.76,19.52,8.87
2020-11-29 22:00:00,-4.1,99,0.0,-4.2,2.5,98,5.0,580.79,2.96,35.64,0.65,5.42,51.06,53.38,4.56,2.0,320.44,0.0,23.99,30.04,3.04,16.41,18.93,7.79
2020-11-29 23:00:00,-4.2,99,0.0,-4.3,2.9,97,5.0,587.46,2.77,35.64,0.45,5.42,51.82,53.6,4.88,2.0,303.75,0.0,20.22,31.83,2.56,15.73,17.92,7.16
2020-11-30 00:00:00,-3.9,99,0.0,-4.1,4.0,80,5.0,614.17,3.33,35.64,0.29,5.07,53.77,55.15,5.07,2.0,293.73,0.0,17.82,32.19,2.41,15.33,17.27,7.41
2020-11-30 01:00:00,-3.9,98,0.0,-4.2,4.0,95,5.0,634.19,3.41,35.3,0.2,4.41,53.92,55.07,4.94,2.0,283.72,0.0,15.42,32.19,2.15,14.94,16.67,7.41
2020-11-30 02:00:00,-4.0,98,0.0,-4.3,3.2,90,5.0,647.54,3.13,34.62,0.2,4.05,53.25,54.33,5.0,2.0,270.37,0.0,13.2,32.54,1.86,14.35,15.91,7.22
2020-11-30 03:00:00,-3.9,97,0.0,-4.2,3.6,90,5.0,674.25,3.91,33.93,0.19,4.11,54.38,55.55,5.19,2.0,257.02,0.0,11.14,33.62,1.65,13.41,14.76,7.35
2020-11-30 04:00:00,-4.2,97,0.0,-4.6,3.3,103,5.0,674.25,3.91,33.59,0.7,4.17,54.78,56.11,5.0,2.0,250.34,0.0,9.6,35.05,1.57,12.83,14.06,7.79
2020-11-30 05:00:00,-4.0,96,0.0,-4.6,2.6,106,5.0,654.22,2.43,33.24,1.25,4.23,53.82,55.28,4.5,2.0,247.0,0.0,8.65,36.48,1.52,12.31,13.47,8.04
2020-11-30 06:00:00,-3.8,95,0.0,-4.5,2.5,98,5.0,660.9,3.44,33.59,1.08,5.07,55.08,56.89,4.56,2.0,243.66,0.0,8.82,37.91,1.58,11.9,13.11,8.23
2020-11-30 07:00:00,-3.8,94,0.0,-4.7,1.8,101,5.0,747.68,9.95,35.3,0.27,7.27,60.6,63.02,5.26,2.0,250.34,0.01,10.37,37.91,1.8,11.21,12.51,8.87
2020-11-30 08:00:00,-3.1,90,0.0,-4.5,1.4,90,5.0,801.09,14.98,35.64,0.4,8.58,64.12,66.93,5.64,2.0,257.02,0.25,11.65,37.91,2.06,11.14,12.56,9.12
2020-11-30 09:00:00,-2.0,84,0.0,-4.3,1.3,326,5.0,761.03,15.87,31.87,3.67,8.23,61.62,64.64,5.19,2.0,273.71,1.82,11.14,40.77,2.35,13.1,14.67,8.36
2020-11-30 10:00:00,-1.3,81,0.0,-4.2,1.9,338,5.0,707.63,15.65,27.42,8.32,7.27,58.05,61.09,4.56,2.0,290.39,2.49,8.74,47.21,2.38,18.08,19.37,2.57
2020-11-30 11:00:00,-0.4,76,0.0,-4.2,2.6,326,5.0,634.19,13.75,23.65,13.77,5.31,53.24,56.05,2.82,3.0,317.1,3.86,9.6,45.06,2.27,20.12,21.51,1.95
2020-11-30 12:00:00,-1.6,81,0.0,-4.5,4.0,360,4.0,540.73,10.17,20.05,19.85,3.7,46.52,48.85,1.41,3.0,363.83,5.7,12.34,40.77,2.3,23.24,24.89,2.22
2020-11-30 13:00:00,-1.4,79,0.0,-4.5,4.0,360,4.0,447.27,6.43,16.11,26.82,2.59,39.61,41.51,0.74,3.0,350.48,5.09,13.2,45.06,2.68,21.71,23.13,1.33
2020-11-30 14:00:00,-1.6,79,0.0,-4.7,3.8,17,4.0,407.22,4.58,15.25,28.61,2.03,36.29,38.06,0.59,4.0,370.5,4.64,15.08,41.49,2.21,25.95,27.54,0.95
2020-11-30 15:00:00,-2.3,82,0.0,-5.0,3.3,41,4.0,393.87,2.93,17.31,25.75,1.8,34.9,36.65,0.58,4.0,377.18,2.91,17.82,37.19,1.8,29.03,30.71,0.71
2020-11-30 16:00:00,-4.3,91,0.0,-5.5,2.8,50,4.0,403.88,0.8,22.96,17.52,1.7,35.09,36.96,0.72,4.0,387.19,0.52,22.28,26.82,1.1,32.44,34.33,0.58
2020-11-30 17:00:00,-5.1,93,0.0,-6.0,3.1,36,4.0,433.92,0.85,28.45,9.21,1.91,36.76,39.0,1.11,4.0,397.21,0.07,24.33,17.7,0.63,36.1,38.28,0.51
2020-11-30 18:00:00,-5.2,95,0.0,-5.9,1.6,63,4.0,467.3,1.98,31.53,3.98,2.92,39.45,42.22,2.06,4.0,407.22,0.12,25.71,12.7,0.55,39.37,41.83,0.55
2020-11-30 19:00:00,-5.2,95,0.0,-5.9,4.0,95,4.0,527.38,4.25,33.59,1.2,4.71,43.49,46.65,3.29,4.0,427.25,0.15,26.73,10.19,0.69,42.58,45.29,0.71
2020-11-30 20:00:00,-5.4,94,0.0,-6.1,4.7,113,4.0,580.79,6.48,34.62,0.18,6.38,47.17,50.32,4.56,4.0,440.6,0.13,26.73,9.39,0.93,45.13,47.52,0.94
2020-11-30 21:00:00,-5.2,93,0.0,-6.2,3.1,111,4.0,614.17,8.16,35.3,0.03,7.39,49.39,51.94,5.57,4.0,447.27,0.11,26.05,9.48,1.25,47.22,49.29,1.25
2020-11-30 22:00:00,-5.1,90,0.0,-6.5,5.6,130,5.0,634.19,9.16,36.33,0.02,8.11,50.97,52.99,6.33,4.0,440.6,0.08,24.33,10.64,1.54,48.08,49.6,1.65
2020-11-30 23:00:00,-5.1,88,0.0,-6.8,1.5,135,5.0,640.87,8.94,37.01,0.02,8.46,52.09,53.81,6.78,4.0,433.92,0.04,22.28,12.88,1.62,48.09,49.2,1.82
2020-12-01 00:00:00,-5.0,86,0.0,-7.0,3.1,126,5.0,654.22,8.49,37.36,0.04,8.58,52.94,54.74,6.84,4.0,420.57,0.02,20.05,15.56,1.7,48.17,49.06,1.92
2020-12-01 01:00:00,-4.1,79,0.0,-7.3,2.9,120,5.0,647.54,6.71,37.01,0.12,7.63,53.36,55.34,6.14,4.0,407.22,0.01,17.48,18.42,1.67,47.56,48.35,1.82
2020-12-01 02:00:00,-3.7,70,0.0,-8.3,3.8,107,5.0,654.22,6.09,36.33,0.19,6.56,54.6,56.63,5.32,4.0,393.87,0.0,15.08,20.74,1.43,46.79,47.36,1.49
2020-12-01 03:00:00,-2.5,58,0.0,-9.6,3.5,114,5.0,754.36,10.28,36.67,0.09,6.2,60.49,62.45,5.07,4.0,383.85,0.0,13.54,24.32,1.42,45.37,45.71,1.11
2020-12-01 04:00:00,-2.0,53,0.0,-10.4,3.1,111,5.0,894.55,16.54,37.7,0.01,6.14,69.84,71.64,4.94,4.0,367.17,0.0,13.54,33.26,2.27,42.5,42.96,0.04
2020-12-01 05:00:00,-2.0,52,0.2,-10.4,2.6,124,5.0,988.01,19.67,38.73,0.02,5.9,75.53,77.24,4.56,4.0,377.18,0.0,14.4,31.11,2.27,42.94,43.25,0.04
2020-12-01 06:00:00,-1.9,59,0.1,-8.8,1.8,127,5.0,1028.06,20.56,40.78,0.04,6.26,77.06,79.03,4.24,4.0,383.85,0.0,15.08,28.97,2.27,43.54,43.86,0.09
2020-12-01 07:00:00,-1.4,69,0.0,-6.3,1.3,124,5.0,1094.82,25.71,43.18,0.01,7.03,80.77,83.17,4.05,4.0,397.21,0.01,17.48,25.75,2.33,45.63,46.06,0.17
2020-12-01 08:00:00,-0.3,73,0.2,-4.5,6.5,341,5.0,1148.22,30.85,44.55,0.03,5.54,83.3,85.98,2.41,4.0,420.57,0.24,20.56,22.71,1.97,47.59,48.23,0.16
2020-12-01 09:00:00,-1.1,83,0.4,-3.7,6.6,315,5.0,1081.47,27.49,44.55,0.28,3.7,76.23,78.86,1.28,4.0,447.27,2.71,20.91,24.68,1.86,48.68,49.57,0.2
2020-12-01 10:00:00,-2.6,95,0.7,-3.3,5.8,292,5.0,881.2,16.09,43.53,0.75,2.38,57.54,59.71,0.75,4.0,413.9,4.19,16.45,32.19,2.03,41.93,42.85,0.11
2020-12-01 11:00:00,-3.1,99,0.7,-3.2,4.9,287,4.0,734.33,7.6,42.84,2.21,1.89,44.85,46.67,0.65,4.0,417.23,5.87,15.42,35.41,2.15,41.83,42.86,0.18
2020-12-01 12:00:00,-2.4,100,0.3,-2.4,7.4,313,4.0,654.22,3.1,41.47,5.14,1.74,37.44,38.98,0.65,4.0,447.27,7.82,16.79,34.69,2.62,45.59,46.81,0.25
2020-12-01 13:00:00,-2.6,100,0.1,-2.6,8.5,324,3.0,494.0,0.31,29.82,25.03,1.37,24.9,25.97,0.54,4.0,460.63,7.82,17.14,34.69,2.86,43.64,44.95,0.25
2020-12-01 14:00:00,-2.8,100,0.1,-2.8,9.7,333,2.0,377.18,0.09,18.68,42.2,1.1,15.96,16.71,0.41,4.0,453.95,6.15,17.99,33.62,2.68,42.04,43.43,0.23
2020-12-01 15:00:00,-3.6,100,0.1,-3.7,9.6,347,2.0,327.11,0.05,14.22,49.35,1.04,12.05,12.64,0.36,4.0,440.6,3.74,20.91,30.04,2.5,41.19,42.66,0.24
2020-12-01 16:00:00,-4.0,99,0.3,-4.1,8.0,333,1.0,303.75,0.01,12.68,50.07,1.0,9.95,10.46,0.34,4.0,447.27,0.83,27.42,19.85,1.71,41.39,43.09,0.4
2020-12-01 17:00:00,-4.0,99,1.1,-4.2,7.4,321,1.0,310.42,0.01,14.05,45.42,1.01,9.87,10.44,0.36,4.0,453.95,0.24,30.5,12.16,1.06,41.94,44.02,0.5
2020-12-01 18:00:00,-4.0,95,1.1,-4.7,8.2,331,2.0,323.77,0.01,15.25,41.13,1.19,10.4,11.05,0.41,4.0,460.63,0.38,31.87,7.69,1.22,42.5,44.98,1.03
2020-12-01 19:00:00,-4.3,99,0.5,-4.5,7.3,327,2.0,347.14,0.02,16.97,36.84,2.03,12.27,13.02,0.86,4.0,473.98,0.52,32.56,5.32,2.03,43.61,46.47,1.92
2020-12-01 20:00:00,-4.5,99,0.1,-4.6,5.8,338,2.0,373.84,0.03,18.68,31.83,2.53,14.57,15.41,1.19,4.0,487.33,0.53,33.59,4.29,2.95,44.07,47.2,2.69
2020-12-01 21:00:00,-4.4,99,0.0,-4.6,5.9,346,2.0,387.19,0.05,20.05,27.9,2.62,16.04,16.92,1.33,4.0,487.33,0.48,33.24,4.02,3.52,44.2,47.36,3.17
2020-12-01 22:00:00,-4.5,99,0.0,-4.6,5.8,353,2.0,393.87,0.05,20.22,25.03,2.44,15.43,16.21,1.36,4.0,473.98,0.37,31.87,4.51,3.67,43.94,46.85,3.33
2020-12-01 23:00:00,-4.5,99,0.0,-4.7,6.1,3,2.0,387.19,0.03,19.19,23.6,2.09,13.78,14.37,1.36,4.0,453.95,0.18,29.47,6.35,3.61,43.55,46.0,3.23
2020-12-02 00:00:00,-3.8,99,0.0,-3.9,8.1,13,2.0,377.18,0.02,17.48,23.25,1.83,12.73,13.2,1.44,4.0,427.25,0.05,25.71,10.01,3.55,42.76,44.81,2.95
2020-12-02 01:00:00,-4.1,99,0.0,-4.2,7.6,355,2.0,363.83,0.02,15.42,23.6,1.62,11.92,12.35,1.58,4.0,407.22,0.01,20.74,15.02,3.1,41.14,42.85,2.31
2020-12-02 02:00:00,-4.2,99,0.0,-4.3,7.3,340,2.0,343.8,0.01,13.2,24.68,1.42,11.39,11.79,1.68,4.0,377.18,0.0,15.42,22.17,2.41,37.92,39.25,1.62
2020-12-02 03:00:00,-4.4,99,0.0,-4.6,7.7,349,2.0,323.77,0.01,10.8,26.82,1.22,11.04,11.39,1.43,4.0,343.8,0.0,10.88,34.33,1.89,32.57,33.59,1.09
2020-12-02 04:00:00,-4.6,99,0.0,-4.8,7.2,354,1.0,293.73,0.0,7.45,32.9,0.92,9.81,10.06,0.55,4.0,307.08,0.0,7.71,51.5,1.54,25.36,26.1,0.71
2020-12-02 05:00:00,-4.8,99,0.0,-5.0,8.0,10,1.0,280.38,0.0,6.86,31.83,0.8,9.02,9.26,0.38,3.0,290.39,0.0,6.94,54.36,1.36,21.03,21.68,0.81
2020-12-02 06:00:00,-4.8,99,0.0,-5.0,7.6,357,1.0,283.72,0.02,7.97,29.33,1.03,8.29,8.62,0.45,2.0,283.72,0.0,7.37,55.08,1.28,17.45,18.17,1.0
2020-12-02 07:00:00,-4.9,98,0.0,-5.1,8.3,360,1.0,290.39,0.05,10.11,26.46,1.45,8.32,8.8,0.57,2.0,273.71,0.0,8.74,55.08,0.88,13.87,14.69,0.63
2020-12-02 08:00:00,-4.8,98,0.0,-5.1,8.3,355,1.0,297.07,0.06,11.48,24.68,1.67,8.38,8.99,0.57,2.0,267.03,0.0,9.43,57.94,0.64,10.22,11.09,0.4
2020-12-02 09:00:00,-4.8,93,0.0,-5.7,8.3,355,1.0,293.73,0.08,11.14,25.75,1.62,7.9,8.54,0.51,1.0,273.71,0.01,10.45,62.23,0.6,8.53,9.26,0.28
2020-12-02 10:00:00,-4.8,96,0.0,-5.4,8.3,355,1.0,280.38,0.11,9.85,30.76,1.45,6.91,7.5,0.46,1.0,230.31,0.01,5.57,77.25,0.4,4.2,4.51,0.18
2020-12-02 11:00:00,-4.7,94,0.0,-5.5,8.4,350,1.0,270.37,0.13,9.17,33.62,1.19,6.19,6.78,0.42,1.0,230.31,0.01,5.1,79.39,0.38,3.94,4.19,0.16
2020-12-02 12:00:00,-4.9,94,0.0,-5.7,9.5,351,1.0,267.03,0.12,9.0,34.33,1.04,5.9,6.51,0.4,1.0,233.65,0.01,5.4,79.39,0.47,4.17,4.38,0.14
2020-12-02 13:00:00,-4.9,94,0.0,-5.6,9.0,360,1.0,263.69,0.1,8.82,35.05,1.0,5.6,6.2,0.43,1.0,233.65,0.01,5.01,75.82,0.55,3.85,4.01,0.12
2020-12-02 14:00:00,-4.8,93,0.0,-5.7,9.4,353,1.0,267.03,0.07,8.91,35.05,1.0,5.33,5.93,0.46,1.0,240.33,0.02,5.4,67.23,0.81,4.46,4.6,0.16
2020-12-02 15:00:00,-4.9,94,0.0,-5.7,8.8,351,1.0,270.37,0.04,9.43,33.62,1.01,5.34,5.93,0.5,1.0,247.0,0.02,5.91,58.65,0.98,4.89,5.02,0.17
2020-12-02 16:00:00,-5.0,96,0.0,-5.6,7.6,352,1.0,280.38,0.03,11.31,30.04,1.03,5.95,6.59,0.51,1.0,253.68,0.01,6.34,54.36,1.0,5.18,5.33,0.19
2020-12-02 17:00:00,-4.8,96,0.1,-5.3,7.7,349,1.0,287.06,0.04,13.02,26.82,1.03,6.5,7.18,0.48,1.0,253.68,0.0,6.43,52.21,0.95,5.38,5.58,0.22
2020-12-02 18:00:00,-4.7,97,0.1,-5.1,7.7,349,1.0,290.39,0.04,13.2,27.54,1.4,6.76,7.45,0.75,1.0,253.68,0.0,6.34,51.5,0.91,5.23,5.45,0.23
2020-12-02 19:00:00,-4.7,98,0.2,-5.0,6.7,344,1.0,300.41,0.05,13.54,28.25,1.8,7.38,8.11,0.98,1.0,260.35,0.0,6.6,49.35,0.98,4.92,5.15,0.25
2020-12-02 20:00:00,-4.6,99,0.2,-4.8,6.1,360,1.0,317.1,0.05,14.05,27.18,2.09,8.19,9.04,1.17,1.0,267.03,0.0,7.28,47.21,1.12,4.79,5.02,0.31
2020-12-02 21:00:00,-4.7,99,0.0,-4.9,5.0,360,1.0,330.45,0.06,14.4,26.11,2.27,8.93,9.9,1.3,1.0,273.71,0.0,7.45,44.7,1.15,4.84,5.08,0.34
2020-12-02 22:00:00,-4.7,97,0.0,-5.1,6.5,357,1.0,337.12,0.05,14.4,25.39,2.24,9.3,10.34,1.41,1.0,270.37,0.0,7.2,43.27,1.07,4.91,5.12,0.33
2020-12-02 23:00:00,-4.9,99,0.0,-5.0,6.6,338,1.0,327.11,0.02,13.2,25.75,1.82,8.85,9.79,1.36,1.0,270.37,0.0,6.86,42.2,1.0,5.06,5.22,0.28
2020-12-03 00:00:00,-5.1,100,0.0,-5.1,5.8,353,1.0,317.1,0.01,11.48,26.46,1.49,8.45,9.32,1.36,1.0,270.37,0.0,6.6,41.49,1.0,5.1,5.22,0.22
2020-12-03 01:00:00,-4.7,98,0.0,-5.0,6.8,360,1.0,307.08,0.01,9.94,27.54,1.28,8.07,8.88,1.44,1.0,267.03,0.0,6.17,42.2,1.0,4.72,4.82,0.19
2020-12-03 02:00:00,-4.9,97,0.0,-5.3,7.1,15,1.0,303.75,0.01,9.08,27.9,1.24,8.01,8.8,1.55,1.0,263.69,0.0,5.4,43.63,0.95,4.2,4.29,0.18
2020-12-03 03:00:00,-4.9,95,0.0,-5.5,5.5,32,1.0,307.08,0.01,8.82,27.18,1.31,8.29,9.1,1.62,1.0,257.02,0.0,4.67,45.42,0.89,3.97,4.07,0.17
2020-12-03 04:00:00,-5.1,98,0.0,-5.3,3.7,29,1.0,317.1,0.02,9.34,25.39,1.52,9.11,9.97,1.84,1.0,250.34,0.0,4.16,46.49,0.81,4.38,4.47,0.16
2020-12-03 05:00:00,-5.2,97,0.0,-5.6,3.7,29,2.0,333.79,0.05,10.97,21.99,1.91,10.47,11.39,2.31,1.0,257.02,0.0,4.41,43.99,0.82,5.59,5.72,0.09
2020-12-03 06:00:00,-5.8,97,0.0,-6.2,3.2,90,2.0,383.85,0.31,16.11,16.09,3.19,13.57,14.75,2.98,1.0,263.69,0.0,5.31,40.05,1.0,6.5,6.7,0.04
2020-12-03 07:00:00,-5.9,94,0.0,-6.6,3.2,117,2.0,460.63,1.26,24.33,8.49,5.31,18.28,19.95,3.77,1.0,270.37,0.0,7.03,36.48,1.4,7.58,7.88,0.04
2020-12-03 08:00:00,-4.7,83,0.0,-7.2,4.9,107,3.0,520.71,3.44,29.13,4.69,6.8,22.46,24.8,4.24,1.0,277.04,0.01,8.57,33.98,1.71,8.44,8.83,0.07
